time,left velocity,right velocity,angle in decimal
0,0,0,0.25π radian(s)
1000,4242.640687119284,4242.640687119285,0.25π radian(s)
2000,4242.6406871192885,4242.640687119289,0.25π radian(s)
3000,4242.640687119281,4242.640687119281,0.25π radian(s)
4000,4242.640687119283,4242.640687119283,0.25π radian(s)
5000,4242.640687119288,4242.640687119288,0.25π radian(s)
6000,4242.640687119288,4242.640687119288,0.25π radian(s)
7000,4242.640687119281,4242.640687119281,0.25π radian(s)
8000,4242.640687119286,4242.640687119286,0.25π radian(s)
9000,4242.640687119283,4242.640687119281,0.25π radian(s)
10000,4242.640687119283,4242.640687119284,0.25π radian(s)
